,gal_lat_deg,b,theta
349,12.908,-0.276,3.2
350,12.919,0.488,1.1333333333333333
351,13.0,-0.359,1.4
352,13.132,-0.14800000000000002,1.2
353,13.186,0.043,4.333333333333333
354,13.216,-0.14400000000000002,2.6
355,13.222000000000001,0.08199999999999999,3.466666666666667
356,13.322000000000001,0.096,1.4
357,13.384,0.067,2.0
358,13.523,-0.19399999999999998,4.166666666666667
359,13.630999999999998,0.192,1.4
360,13.709000000000001,-0.243,1.4
361,13.722999999999999,-0.445,1.4
362,13.725999999999999,-0.023,10.366666666666667
363,13.776,-0.795,18.066666666666666
364,13.789000000000001,0.18899999999999997,3.4
365,13.88,0.285,4.8
366,13.89,-0.475,3.433333333333333
367,13.899000000000001,-0.013000000000000001,2.0
368,13.963,-0.149,1.4
369,13.993,-0.131,5.6
370,14.001,-0.205,4.866666666666666
371,14.061,-0.521,5.366666666666666
372,14.103,0.091,1.4
373,14.174000000000001,0.022000000000000002,1.4
374,14.208,-0.109,2.3
375,14.208,-0.192,20.266666666666666
376,14.220999999999998,-0.544,3.7
377,14.243,-0.5529999999999999,1.3666666666666667
378,14.247,-0.073,1.1333333333333333
379,14.304,0.141,6.1
380,14.321,0.026000000000000002,0.7
381,14.332,-0.639,2.0
382,14.352,-0.642,1.9333333333333333
383,14.386,0.10800000000000001,0.5333333333333333
384,14.390999999999998,-0.023,1.4
385,14.392000000000001,-0.106,9.066666666666666
386,14.478,-0.006,1.4
387,14.481,-0.109,1.6
388,14.482000000000001,-0.6609999999999999,8.933333333333334
389,14.489,0.02,1.4
390,14.54,2.766,12.3
391,14.575999999999999,0.091,14.266666666666667
392,14.599,0.02,0.9
393,14.639000000000001,0.633,1.4
394,14.667,-0.47700000000000004,9.566666666666666
395,14.779000000000002,-0.33299999999999996,2.0
396,14.922,0.069,1.4
397,14.987,-0.121,0.6333333333333333
398,14.991,-0.121,0.6333333333333333
399,15.01,0.05,6.333333333333333
400,15.075999999999999,-0.12300000000000001,1.4
401,15.097999999999999,-0.7290000000000001,39.06666666666667
402,15.128,3.31,37.833333333333336
403,15.175999999999998,0.044000000000000004,1.2666666666666666
404,15.175999999999998,-0.158,0.8
405,15.175999999999998,0.044000000000000004,1.2666666666666666
406,15.184000000000001,-0.151,1.4
407,15.184000000000001,-0.16399999999999998,0.9333333333333333
408,15.212,0.168,5.866666666666666
409,15.52,0.188,1.4
410,15.677,-0.28800000000000003,10.166666666666666
411,15.884,0.55,4.0
412,16.144000000000002,0.008,1.2666666666666666
413,16.244,0.039,1.4
414,16.258,-0.091,8.633333333333333
415,16.278,-0.49,0.9
416,16.285999999999998,-0.171,3.7666666666666666
417,16.295,-0.18100000000000002,0.9
418,16.302,-0.196,0.9
419,16.303,-0.205,0.9
420,16.311,-0.47600000000000003,1.4
421,16.314,-0.147,2.033333333333333
422,16.324,-0.147,0.7
423,16.331,-0.157,0.7
424,16.352,-0.17800000000000002,3.1333333333333333
425,16.36,-0.21100000000000002,1.1
426,16.361,-0.19899999999999998,0.6333333333333333
427,16.364,-0.5579999999999999,7.733333333333333
428,16.381,-0.308,1.4
429,16.391,-0.138,1.2333333333333334
430,16.419,-0.371,1.4
431,16.425,-0.2,2.0
432,16.442,-0.21,1.0333333333333334
433,16.444000000000003,-0.195,1.0333333333333334
434,16.561,0.003,1.1666666666666667
435,16.648,-0.35700000000000004,16.166666666666668
436,16.77,0.02,2.466666666666667
437,16.783,0.043,1.2666666666666666
438,16.823,-0.349,0.7666666666666667
439,16.857,-1.155,23.933333333333334
440,16.862000000000002,0.115,6.5
441,16.944000000000003,-0.073,1.4
442,16.961,-0.086,1.0
443,16.993,0.8740000000000001,37.46666666666667
444,17.005,-0.06,2.2
445,17.03,-0.07,0.7666666666666667
446,17.032,-0.051,2.2
447,17.114,-0.11199999999999999,1.9
448,17.221,-0.187,0.9
449,17.29,-0.20199999999999999,1.4
450,17.316,0.389,2.6
451,17.337,-0.145,3.4
452,17.368,-0.057999999999999996,3.433333333333333
453,17.414,0.377,1.4
454,17.448,-0.081,2.933333333333333
455,17.555,0.166,0.7
456,17.565,0.165,1.3
457,17.57,0.09300000000000001,1.4
458,17.584,0.08800000000000001,0.6
459,17.59,0.092,0.6
460,17.594,0.08800000000000001,0.6
461,17.625,0.048,1.4
462,17.637999999999998,0.158,1.7666666666666666
463,17.819000000000003,0.067,2.7666666666666666
464,17.928,-0.677,5.466666666666667
465,17.984,0.127,1.4333333333333333
