,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
0,0.0,0.0,1200 - 10000,8.0,thermal composite,0.0+0.0,17,45,44,-29,0,S,3.5,2.5,97.93362626496669,100?,0.8?,0.7147232911740121,3.0,1.0,1.7019210773237152e-18,2.0,1.0,0.0,0.0
1,0.3,0.0,≤ 500000,8.5,shell,0.3+0.0,17,46,15,-28,38,S,15.0,8.0,0.0,22,0.6,0.0,11.5,0.5,2.758667249278152e-20,2.125,1.0,0.5018607918038167,174.91224933038072
2,0.9,0.1,1900 PSR: 5000,10.75,plerionic composite,0.9+0.1,17,47,21,-28,9,C,8.0,8.0,0.0,18?,varies,0.0,8.0,0.5,4.2320463483244387e-20,4.5,1.0,2.7538553362793734,176.4846829996074
3,1.9,0.3,150 - 220,8.5,shell,1.9+0.3,17,48,45,-27,10,S,1.5,1.5,0.0,0.6,0.6,0.0,1.5,0.5,4.012606908040948e-20,2.125,1.0,0.5698865079303179,150.3620421261117
4,3.8,0.3,,11.986812436901332,shell?,3.8+0.3,17,52,55,-25,28,S?,18.0,18.0,0.0,3?,0.6,0.0,18.0,0.5,1.3932662875142181e-21,11.986812436901332,0.0,4.03934742285775,168.65778477059743
5,4.5,6.8,SN: 418 yr,10.75,shell,4.5+6.8,17,30,42,-21,29,S,3.0,3.0,0.0,19,0.64,0.0,3.0,0.5,3.176647135532417e-19,4.5,1.0,2.844770394584065,162.75331973116067
6,4.8,6.2,,11.97896638861434,shell,4.8+6.2,17,33,25,-21,34,S,18.0,18.0,0.0,3,0.6,0.0,18.0,0.5,1.3932662875142181e-21,11.97896638861434,0.0,4.062556370125572,165.71562120579657
7,5.5,0.3,,11.972393104746198,shell,5.5+0.3,17,57,4,-24,0,S,15.0,12.0,0.0,5.5,0.7,0.0,13.5,0.5,4.597778748796921e-21,11.972393104746198,0.0,4.081887228406203,163.6728965686531
8,5.9,3.1,,11.968237975692029,shell,5.9+3.1,17,47,20,-22,16,S,20.0,20.0,0.0,3.3?,0.4?,0.0,20.0,0.5,1.2414002621751684e-21,11.968237975692029,0.0,4.094054195684653,162.51262360046204
9,6.1,0.5,,11.966051743003506,shell,6.1+0.5,17,57,29,-23,25,S,18.0,12.0,0.0,4.5,0.9,0.0,15.0,0.5,3.1348491469069907e-21,11.966051743003506,0.0,4.100439693955118,161.93452208334705
10,6.1,1.2,,11.966051743003506,filled-centre?,6.1+1.2,17,54,55,-23,5,F,30.0,26.0,0.0,4.0?,0.3?,0.0,28.0,0.5,7.716551746232592e-22,11.966051743003506,0.0,4.100439693955118,161.93452208334705
11,6.4,4.0,,11.962636689488573,shell,6.4+4.0,17,45,10,-21,22,S,31.0,31.0,0.0,1.3?,0.4?,0.0,31.0,0.5,2.035531600072801e-22,11.962636689488573,0.0,4.110392126707851,161.0700183629549
12,7.2,0.2,,11.95273493331292,shell,7.2+0.2,18,1,7,-22,38,S,12.0,12.0,0.0,2.8,0.6,0.0,12.0,0.5,2.9258592037798577e-21,11.95273493331292,0.0,4.139097439534496,158.78105964317018
13,8.3,0.0,,11.937237231833267,shell,8.3-0.0,18,4,34,-21,49,S,5.0,4.0,0.0,1.2,0.6,0.0,4.5,0.5,9.028365543092132e-21,11.937237231833267,0.0,4.18358306609701,155.67580898535059
14,8.9,0.4,,11.92786824574485,shell,8.9+0.4,18,3,58,-21,3,S,24.0,24.0,0.0,9,0.6,0.0,24.0,0.5,2.3511368601802427e-21,11.92786824574485,0.0,4.210220791378011,154.00415180726853
15,9.7,0.0,,11.914374656000815,shell,9.7-0.0,18,7,22,-20,35,S,15.0,11.0,0.0,3.7,0.6,0.0,13.0,0.5,3.374237627216253e-21,11.914374656000815,0.0,4.248255707516376,151.80108485282662
16,9.8,0.6,,11.912607671071465,shell,9.8+0.6,18,5,8,-20,14,S,12.0,12.0,4.073823439190513,3.9,0.5,0.39406651055834346,12.0,1.0,4.166122267655558e-21,11.912607671071465,0.0,4.253208021614899,151.52784076453008
17,10.5,0.0,,11.899740625243506,shell,10.5-0.0,18,9,8,-19,47,S,6.0,6.0,0.0,0.9,0.6,0.0,6.0,0.5,3.761818976288389e-21,11.899740625243506,0.0,4.289076013773745,149.62883104581147
18,11.0,0.0,,10.75,shell?,11.0-0.0,18,10,4,-19,25,S,11.0,9.0,0.0,1.3,0.6,0.0,10.0,0.5,1.975904916838346e-21,4.5,1.0,3.274541868262155,141.2144509279868
19,11.1,0.1,PSR: 51300,10.75,plerionic composite?,11.1+0.1,18,9,47,-19,12,S,12.0,10.0,0.0,2.3,0.4,0.0,11.0,0.5,2.8840612151544315e-21,4.5,1.0,3.2833156706801483,140.92465489410102
20,12.2,0.3,,11.86488005983355,shell,12.2+0.3,18,11,17,-18,10,S,6,5,0.0,0.8,0.7,0.0,5.5,0.5,4.0126069080409476e-21,11.86488005983355,0.0,4.384589053236823,145.12041043441974
21,12.5,0.2,,11.858199953038996,plerionic composite?,12.5+0.2,18,12,14,-17,55,C?,6,5,0.0,0.6,0.4,0.0,5.5,0.5,3.009455181030712e-21,11.858199953038996,0.0,4.402623521690901,144.340502759445
22,12.7,0.0,,11.853658932400133,shell,12.7-0.0,18,13,19,-17,54,S,6,6,0.0,0.8,0.8,0.0,6.0,0.5,3.343839090034124e-21,11.853658932400133,0.0,4.4148352080604765,143.82323221950006
23,12.8,0.0,1200 PSR: 5000,7.35,plerionic composite,12.8-0.0,18,13,37,-17,49,C?,3,3,0.0,0.8,0.5,0.0,3.0,0.5,1.3375356360136493e-20,12.0,1.0,1.8289166010689917,91.48235657630316
24,13.5,0.2,,11.834796049961884,shell,13.5+0.2,18,14,14,-17,12,S,5,4,3.8788090398444175,3.5?,1.0?,1.109897474338725,4.5,1.0,2.7757743868495043e-20,11.834796049961884,0.0,4.4651542477059625,141.77567652357058
25,14.3,0.1,,11.814819994805491,shell,14.3+0.1,18,15,58,-16,27,S,5,4,0.0,0.6,0.4,0.0,4.5,0.5,4.514182771546067e-21,11.814819994805491,0.0,4.517745952390906,139.7628786805598
26,15.4,0.1,2500 - 8200 PSR: 17000,7.35,plerionic composite?,15.4+0.1,18,18,2,-15,27,C?,15,14,5.568096968708165,5.6,0.62,0.6058736320144268,14.5,1.0,4.00117705770621e-21,12.0,1.0,2.1551984739389214,84.29016076906896
27,15.9,0.2,1000 - 3000,7.35,shell?,15.9+0.2,18,18,52,-15,2,S?,7,5,1.5921981854469502,5.0,0.63,1.7594301701573811,6.0,0.5,2.1496108435933647e-20,12.0,1.0,2.2184954354275224,83.01846110411887
28,16.7,0.1,2100,14.0,plerionic composite,16.7+0.1,18,20,56,-14,20,C,4,4,2.8813146556242253,3.0,0.6,0.5160840854064783,4.0,1.0,2.7655551346312774e-20,3.5,1.0,6.74149546871089,143.36187958690383
29,17.0,0.0,,11.739276174292765,shell,17.0-0.0,18,21,57,-14,8,S,5,5,0.0,0.5,0.5,0.0,5.0,0.5,3.009455181030712e-21,11.739276174292765,0.0,4.710562058149988,133.22877292358922
30,18.8,0.3,100000,7.35,shell,18.8+0.3,18,23,58,-12,23,S,17,11,28.897988283679172,33,0.46,0.5481637036441229,14.0,1.0,2.4903639242740185e-20,12.0,1.0,2.5877687320149185,76.14788699017588
31,19.1,0.2,,11.67199782200374,shell,19.1+0.2,18,24,56,-12,7,S,27,27,0.0,10,0.5,0.0,27.0,0.5,2.0640982037247674e-21,11.67199782200374,0.0,4.874881213233814,128.42129926800845
32,24.7,0.6,9500,7.35,plerionic composite?,24.7+0.6,18,34,10,-7,5,C?,30,15,22.552060296373874,20?,0.2?,0.17871760172969942,22.5,1.0,7.114362129025196e-21,12.0,1.0,3.3439405381761063,66.70402481132315
33,24.7,0.6,,7.35,shell?,24.7+0.6,18,34,10,-7,5,C?,30,15,22.552060296373874,20?,0.2?,0.17871760172969942,22.5,1.0,7.114362129025196e-21,12.0,1.0,3.3439405381761063,66.70402481132315
34,27.4,0.0,750 - 2100 PSR: 4300,7.35,shell,27.4+0.0,18,41,19,-4,56,S,4,4,5.4625921666744555,6,0.68,0.6978421895976116,4.0,1.0,5.390024591256325e-20,12.0,1.0,3.6899065988123874,66.44563523674097
35,27.8,0.6,,11.317767070355151,filled-centre,27.8+0.6,18,39,50,-4,24,F,50,30,45.64083529355442,30,varies,0.6558610048830208,40.0,0.5,3.009455181030712e-21,11.317767070355151,0.0,5.648729816621135,110.86053663736958
36,28.8,1.5,32000,7.35,thermal composite?,28.8+1.5,18,39,0,-2,55,S?,100?,100?,0.0,?,0.4?,0.0,100.0,,,12.0,1.0,3.8689577959499166,66.23485600365511
37,29.6,0.1,≤ 8000,7.2,shell,29.6+0.1,18,44,52,-2,57,S,5,5,0.0,1.5?,0.5?,0.0,5.0,0.5,9.028365543092132e-21,5.6,1.0,3.9590635409145403,63.9340084964217
38,30.7,1.0,,11.174364474980557,shell?,30.7+1.0,18,44,0,-1,32,S?,24,18,5.822172872312082,6,0.4,0.3489811884500532,21.0,1.0,2.058929363519695e-21,11.174364474980557,0.0,5.927358482519216,105.74375133623484
39,31.9,0.0,7400 - 8400,7.2,thermal composite,31.9+0.0,18,49,25,0,55,S,7,5,24.11417257884368,25,varies,0.5541125552269537,6.0,1.0,1.0557635794959828e-19,5.6,1.0,4.2471710096395805,63.61562918367508
40,32.4,0.1,,17.0,shell,32.4+0.1,18,50,5,0,25,S,6,6,0.0,0.25?,?,0.0,6.0,0.5,1.0449497156356635e-21,4.25,1.0,11.105980562897267,124.89580940701744
41,33.6,0.1,4400 - 6700 PSR: 192000000,7.2,thermal composite?,33.6+0.1,18,52,48,0,41,S,10,10,66.54888664742049,20,0.51,0.041151642260589434,10.0,0.5,3.009455181030711e-20,5.6,1.0,4.459537315708498,63.311328721400464
42,36.6,2.6,,10.847515992631571,shell,36.6+2.6,18,48,49,4,26,S,17,13?,0.0,0.7?,0.5?,0.0,15.0,0.5,4.766105490320131e-22,10.847515992631571,0.0,6.506258278734579,96.2522979667977
43,41.5,0.4,,7.2,shell?,41.5+0.4,19,5,50,7,46,S?,10,10,0.0,1?,?,0.0,10.0,0.5,1.5047275905153558e-21,5.6,1.0,5.436938565507886,61.34116281632032
44,42.8,0.6,PSR: 38000,8.55,shell,42.8+0.6,19,7,20,9,5,S,24,24,0.0,3?,0.5?,0.0,24.0,0.5,7.837122867267477e-22,13.2,1.0,6.06038402545635,73.44706716002135
45,43.9,1.6,,9.55,shell?,43.9+1.6,19,5,50,10,30,S?,60?,60?,0.0,9.0,0.5,0.0,60.0,0.5,3.7618189762883895e-22,12.9,1.0,6.715823861243348,80.41083850165586
46,53.4,0.0,2000 - 5000,9.55,shell,53.4+0.0,19,29,57,18,10,S,10?,10?,0.0,1.5,0.6?,0.0,10.0,0.5,2.257091385773033e-21,12.9,1.0,8.006206286703701,73.25976261948979
47,54.1,0.3,1500 - 2400 PSR: 2900,5.65,plerionic composite?,54.1+0.3,19,30,31,18,52,C?,12?,12?,0.44457483557209104,0.5,0.1,0.10581144271991004,12.0,1.0,4.9351660291383015e-22,3.1000000000000005,1.0,6.550911306916362,44.318073191460066
48,55.0,0.3,,14.0,shell,55.0+0.3,19,32,0,19,50,S,20,15?,0.3429319537188589,0.5?,0.5?,0.93936761956135,17.5,1.0,2.113971612812966e-22,3.5,1.0,11.468168042776739,90.15023256531248
49,55.7,3.4,,5.65,shell,55.7+3.4,19,21,20,21,44,S,23,23,1.3060104495165932,1?,0.3?,0.7583831751588849,23.0,1.0,3.27969522438973e-22,3.1000000000000005,1.0,6.706694057137505,44.102155021813594
50,57.2,0.8,16000 - 95000 PSR: 3600,5.4,shell?,57.2+0.8,19,34,59,21,57,S?,12?,12?,0.0,1.8,0.35,0.0,12.0,0.5,1.8809094881441944e-21,3.8,1.0,6.8085542247654365,41.81058031944927
51,59.5,0.1,,1.5,shell,59.5+0.1,19,42,33,23,35,S,15,15,0.0,3?,?,0.0,15.0,0.5,2.0063034540204738e-21,3.0,1.0,7.3531679763856275,50.87670838667738
52,63.7,1.1,≥ 8000,1.5,filled-centre,63.7+1.1,19,47,52,27,45,F,8,8,1.7999646410129675,1.8,0.24,0.29478511215319325,8.0,1.0,4.232004781415562e-21,3.0,1.0,7.457633097720731,42.21184077065318
53,64.5,0.9,,11.0,shell,64.5+0.9,19,50,25,28,16,S?,8,8,0.0,0.15?,0.5,0.0,8.0,0.5,3.5267052902703647e-22,2.75,1.0,10.451317953336797,71.79961685002759
54,65.1,0.6,40000 - 140000 PSR: 1600000,8.3,shell,65.1+0.6,19,54,40,28,35,S,90,50,6.063308624013915,5.5,0.61,0.43500039391138856,70.0,1.0,1.933292169355321e-22,2.6,1.0,8.773622056186213,59.1016294846452
55,65.3,5.7,20000,0.8,thermal composite,65.3+5.7,19,33,0,31,10,S?,310,240,47.11909382682416,42,0.6,0.7342622663364379,275.0,1.0,9.012094040520763e-23,0.2,1.0,7.700084509623657,43.98382152553594
56,65.7,1.2,3000 - 155000,8.3,filled-centre,65.7+1.2,19,52,10,29,26,F,22,22,6.398033934254526,5.1,varies,0.363974881472997,22.0,1.0,1.7873356299126666e-21,2.6,1.0,8.845388243443109,58.78272641583361
57,66.0,0.0,,8.3,shell,66.0-0.0,19,57,50,29,3,S,31,25?,0.0,?,?,0.0,28.0,,,2.6,1.0,8.881180878663251,58.62338931585776
58,67.6,0.9,,8.3,shell,67.6+0.9,19,57,45,30,53,S,50,45?,0.0,?,?,0.0,47.5,,,2.6,1.0,9.071044814170174,57.77483176664918
