,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
99,294.1,0.0,,8.751449421023143,shell,294.1-0.0,11,36,10,-61,38,S,40,40,0.0,&gt;2?,?,0.0,40.0,0.5,1.8809094881441948e-22,8.751449421023143,0.0,9.133024309136252,-61.0090475046496
100,296.5,10.0,7000 - 10000 PSR: 470000,9.5,shell,296.5+10.0,12,9,40,-52,25,S,90,65,51.21907351644671,48,0.5,0.5021360695915356,77.5,1.0,1.2760485250048614e-21,13.0,1.0,9.29666243376133,-66.13601787037382
101,298.6,0.0,,9.102697197539085,thermal composite,298.6-0.0,12,13,41,-62,37,S,12,9,0.0,5?,0.3,0.0,10.5,0.5,6.96633143757109e-21,9.102697197539085,0.0,8.782989452909192,-65.49737189764653
102,302.3,0.7,,9.387824484488801,shell,302.3+0.7,12,45,55,-62,8,S,17,17,4.0013844913059815,5?,0.4?,0.6980409212743799,17.0,1.0,2.343361867976667e-21,9.387824484488801,0.0,8.477543951430306,-69.39392846680744
103,304.6,0.1,2000 - 64000,12.85,thermal composite,304.6+0.1,13,5,59,-62,42,S,8,8,16.374674517246316,14,0.5,0.5529571902106654,8.0,1.0,3.5707508436737673e-20,6.300000000000002,1.0,10.600652150555756,-86.19641777604542
104,309.8,0.0,,9.946631784722358,shell,309.8+0.0,13,50,30,-62,5,S,25,19,16.749208809629554,17,0.5,0.5075505028111998,22.0,1.0,5.345617437254054e-21,9.946631784722358,0.0,7.814378806991054,-77.93729843533686
105,315.1,2.7,,1.7,shell,315.1+2.7,14,24,30,-57,50,S,190,150,0.0,?,?,0.0,170.0,,,0.425,1.0,6.9009532974722285,-80.18614216264717
106,315.9,0.0,PSR: 114000,12.85,plerionic composite,315.9-0.0,14,38,25,-60,11,S,25,14,0.0,0.8?,?,0.0,19.5,0.5,3.439377349749385e-22,6.300000000000002,1.0,9.026390927712383,-97.81858745305328
107,316.3,0.0,,11.6,shell,316.3-0.0,14,41,30,-60,0,S,29,14,19.65698407174104,20?,0.4,0.10129249347451212,21.5,1.0,7.348886464208956e-21,8.8,1.0,8.023546455226901,-92.76046752549848
108,318.2,0.1,8000,11.6,shell,318.2+0.1,14,54,50,-59,4,S,40,35,0.0,&gt;3.9?,?,0.0,37.5,0.5,4.1917411450070607e-22,8.8,1.0,7.758843628973378,-94.78724130655284
109,318.9,0.4,,10.56976312048596,plerionic composite?,318.9+0.4,14,58,30,-58,29,C,30,14,4.63737666839591,4?,0.2?,0.20238963823878195,22.0,1.0,1.5472498788820153e-21,10.56976312048596,0.0,6.948388847554151,-89.71128109274632
110,322.1,0.0,850 - 7100,11.6,shell,322.1+0.0,15,20,49,-57,10,S?,8,4.5?,0.0,?,?,0.0,6.25,,,8.8,1.0,7.218448161113398,-99.19422124308471
111,323.5,0.1,,10.8534228364045,shell,323.5+0.1,15,28,42,-56,21,S,13,13,4.048324860330319,3?,0.4?,0.06063210770193918,13.0,1.0,3.1378132793651834e-21,10.8534228364045,0.0,6.496399982622166,-96.40400827971462
112,327.4,0.4,2400 - 23000,11.6,thermal composite,327.4+0.4,15,48,20,-53,49,S,21,21,27.818058863018837,30?,0.6,0.8195243710640253,21.0,1.0,9.86399414979879e-21,8.8,1.0,6.496216984943888,-105.83351654762136
113,327.4,1.0,,11.074069231860008,shell,327.4+1.0,15,46,48,-53,20,S,14,14,0.0,1.9?,?,0.0,14.0,0.5,1.4586645010097836e-21,11.074069231860008,0.0,6.112690949816744,-102.56095037039805
114,327.6,14.6,SN: 1016 yr,11.6,shell,327.6+14.6,15,2,50,-41,56,S,30,30,0.0,19,0.6,0.0,30.0,0.5,3.176647135532417e-21,8.8,1.0,6.46936913669533,-106.10141106645322
115,328.4,0.2,4900 - 6500,16.7,filled-centre,328.4+0.2,15,55,30,-53,17,F,5,5,14.631113358246353,15,0.0,0.145627657702867,5.0,1.0,8.917350761568277e-20,-1.3999999999999986,1.0,10.738182490392763,-125.42234316038049
116,329.7,0.4,,11.19485018828839,shell,329.7+0.4,16,1,20,-52,18,S,40,33,0.0,&gt;34?,?,0.0,36.5,0.5,3.8758134907213705e-21,11.19485018828839,0.0,5.888576165914763,-106.43037625823436
117,330.0,15.0,15000 - 52200,16.7,shell,330.0+15.0,15,10,0,-40,0,S,180?,180?,0.0,350?,0.5?,0.0,180.0,0.5,1.6254773354332543e-21,-1.3999999999999986,1.0,10.558788382612756,-127.73868777632966
118,330.2,1.0,1000 - 15000,10.5,shell?,330.2+1.0,16,1,6,-51,34,S?,11,11,5.395685853679328,5?,0.3,0.5132269732353766,11.0,1.0,6.463915424116308e-21,11.0,1.0,5.335297914270589,-102.02488431938593
119,332.0,0.2,,11.308264072784278,shell,332.0+0.2,16,13,17,-50,53,S,12,12,0.0,8?,0.5,0.0,12.0,0.5,8.359597725085308e-21,11.308264072784278,0.0,5.667730027107525,-110.4970175171646
120,332.4,0.1,3000 - 8600,10.5,shell,332.4+0.1,16,15,20,-50,42,S,15,15,0.0,26,0.5,0.0,15.0,0.5,1.7387963268177444e-20,11.0,1.0,5.0366455790690745,-105.0183469112502
121,335.2,0.1,,1.8,shell,335.2+0.1,16,27,45,-48,47,S,21,21,14.489816445826854,16,0.5,0.6976852148350443,21.0,1.0,5.201685718342916e-21,0.45,1.0,6.4106168672174,-123.63626103809885
122,336.7,0.5,,11.515768698424644,shell,336.7+0.5,16,32,11,-47,19,S,14,10,0.0,6,0.5,0.0,12.0,0.5,6.448832530780096e-21,11.515768698424644,0.0,5.233265833529114,-119.49537972378856
123,337.2,0.1,1500,14.0,plerionic composite?,337.2+0.1,16,35,55,-47,20,?,3,2,0.0,1.5?,?,0.0,2.5,0.5,3.7618189762883883e-20,3.5,1.0,7.314550843638719,-132.1233833672874
124,337.3,1.0,,5.0,shell,337.3+1.0,16,32,39,-46,36,S,15,12,14.08881957740776,16,0.55,0.6212689002230917,13.5,1.0,1.2576521384490012e-20,1.25,1.0,3.8983269287606297,-104.93264513805843
125,338.1,0.4,,11.570993978799242,shell,338.1+0.4,16,37,59,-46,24,S,15?,15?,0.0,4?,0.4,0.0,15.0,0.5,2.6750712720272978e-21,11.570993978799242,0.0,5.109999837826966,-122.3722876661388
126,338.3,0.0,1000 - 8000 PSR: 3350,10.5,plerionic composite,338.3-0.0,16,41,0,-46,34,C?,8,8,0.0,7?,?,0.0,8.0,0.5,1.6457958021261702e-20,11.0,1.0,4.260953881735707,-114.33612694536386
127,338.5,0.1,1100 - 17000,11.0,?,338.5+0.1,16,41,9,-46,19,?,9,9,0.0,12?,?,0.0,9.0,0.5,2.229226060022749e-20,2.75,1.0,4.609393456319788,-118.99879135914465
128,340.4,0.4,,11.654899317958346,shell,340.4+0.4,16,46,31,-44,39,S,10,7,5.018196501453172,5,0.4,0.5896521220439002,8.5,1.0,1.0767611916386424e-20,11.654899317958346,0.0,4.9156201936535,-127.31137059574436
129,340.6,0.3,,15.0,shell,340.6+0.3,16,47,41,-44,34,S,6,6,3.0560387004656286,5?,0.4?,0.984967065099586,6.0,0.5,2.0898994312713268e-20,3.75,1.0,7.9136945918183965,-140.97980320254194
130,341.2,0.9,,11.682058847529015,plerionic composite,341.2+0.9,16,47,35,-43,47,C,22,16,8.966107853821544,1.5?,0.6?,-0.9875316096876736,19.0,0.5,6.412191436855208e-22,11.682058847529015,0.0,4.850721707423453,-129.09360061073386
131,342.1,0.9,,11.711345076039938,shell,342.1+0.9,16,50,43,-43,4,S,10,9,0.0,0.5?,?,0.0,9.5,0.5,8.359597725085312e-22,11.711345076039938,0.0,4.779581206540491,-131.13933717190477
132,348.5,0.1,6000 - 30000 SN: 1629 yr ??,10.5,thermal composite,348.5+0.1,17,14,6,-38,32,S,15,15,58.790180202393024,72,0.3,0.562176098420491,15.0,1.0,4.3734131715336894e-20,11.0,1.0,3.1020395909305583,-137.5587011261128
133,348.5,0.0,,3.15,shell?,348.5-0.0,17,15,26,-38,28,S?,10?,10?,0.0,10?,0.4?,0.0,10.0,0.5,1.5047275905153555e-20,6.3,1.0,4.953210563574921,-149.71596219225182
134,348.7,0.3,650 - 16800 PSR: 950 SN: 1629 yr ??,3.15,shell,348.7+0.3,17,13,55,-38,11,S,17?,17?,28.651099203000822,26,0.3,0.08349968179882719,17.0,1.0,1.4227511561028915e-20,6.3,1.0,4.949699102900166,-150.23653494805066
135,349.7,0.2,1800 - 3100,3.15,shell,349.7+0.2,17,17,59,-37,26,S,2.5,2,20.275970187649143,20,0.5,0.4736431098867885,2.25,1.0,6.06043635761296e-19,6.3,1.0,4.933020787321852,-152.84396523089256
136,351.2,0.1,,11.929474523004473,plerionic composite?,351.2+0.1,17,22,27,-36,11,C?,7,7,5.165150507644869,5?,0.4,0.5001313020151195,7.0,1.0,1.560794125570858e-20,11.929474523004473,0.0,4.205667319818252,-154.28163196121398
137,351.7,0.8,≤ 68000,3.15,shell,351.7+0.8,17,21,0,-35,27,S,18,14,10.045280312917457,10,0.5?,0.5316075987144879,16.0,1.0,5.984659989377218e-21,6.3,1.0,4.904120739839502,-158.07975353537128
138,354.1,0.1,,3.15,plerionic composite?,354.1+0.1,17,30,28,-33,46,C?,15,3?,0.0,?,varies,0.0,9.0,,,6.3,1.0,4.87744584975522,-164.393535079722
139,355.4,0.7,,11.980681058723205,shell,355.4+0.7,17,31,20,-32,26,S,25,25,0.0,5?,?,0.0,25.0,0.5,1.2037820724122844e-21,11.980681058723205,0.0,4.0574969339669344,-166.30192316433678
140,355.6,0.0,7300 - 20000,13.0,thermal composite,355.6-0.0,17,35,16,-32,38,S,8,6,2.4895362276002633,3?,?,0.2542035990801531,7.0,1.0,8.604433980003853e-21,3.25,1.0,5.060931489044343,-168.63444746124972
141,356.2,4.5,,11.986812436901332,shell,356.2+4.5,17,19,0,-29,40,S,25,25,0.0,4,0.7,0.0,25.0,0.5,9.630256579298274e-22,11.986812436901332,0.0,4.03934742285775,-168.6577847705975
142,357.7,0.3,10000,6.4,shell,357.7+0.3,17,38,35,-30,44,S,24,24,10.325820659520515,10,0.4?,0.391378580898288,24.0,1.0,2.6549325647784328e-21,1.6,1.0,1.6255749568324218,-166.30907806717502
143,358.0,3.8,,11.996345240475753,shell,358.0+3.8,17,26,0,-28,36,S,38,38,0.0,1.5?,?,0.0,38.0,0.5,1.563082677128139e-22,11.996345240475753,0.0,4.0109476275955975,-174.0084999942109
144,359.1,0.9,,11.999259806304975,shell,359.1+0.9,17,39,36,-29,11,S,12,11,2.4406162855038867,2?,?,0.5133942345468879,11.5,1.0,2.531029486246028e-21,11.999259806304975,0.0,4.002219896606623,-177.30077668901288
145,1.0,-0.1,,11.999086188336587,,1.0-0.1,17,48,30,-28,9,S,8.0,8.0,0.0,15,0.6?,0.0,8.0,0.5,3.526705290270365e-20,11.999086188336587,0.0,4.002740391890314,177.00106524270282
146,1.4,-0.1,,11.99820900552335,,1.4-0.1,17,49,39,-27,46,S,10.0,10.0,0.0,2?,?,0.0,10.0,0.5,3.009455181030712e-21,11.99820900552335,0.0,4.005368979230053,175.80292061194675
147,3.7,-0.2,,11.987496969816663,,3.7-0.2,17,55,26,-25,50,S,14.0,11.0,2.136919346952461,2.3,0.65,0.6798093822280528,12.5,1.0,2.167647713717773e-21,11.987496969816663,0.0,4.0373154940673395,168.95337573948342
148,4.2,-3.5,,11.983892276003303,,4.2-3.5,18,8,55,-27,3,S,28.0,28.0,0.0,3.2?,0.6?,0.0,28.0,0.5,6.141745267409615e-22,11.983892276003303,0.0,4.048002707156749,167.47780994010245
149,5.2,-2.6,,11.975319108401001,,5.2-2.6,18,7,30,-25,45,S,18.0,18.0,0.0,2.6?,0.6?,0.0,18.0,0.5,1.2074974491789891e-21,11.975319108401001,0.0,4.073295011654061,164.54651094363226
150,5.4,-1.2,,11.973386576131434,,5.4-1.2,18,2,10,-24,54,C?,35.0,35.0,32.67752610738685,35?,0.2?,0.14869721162124866,35.0,1.0,4.156581256800339e-21,11.973386576131434,0.0,4.078972162017723,163.96378479417316
151,6.4,-0.1,,11.962636689488573,,6.4-0.1,18,0,30,-23,26,C,48.0,48.0,280.38559680085683,310,varies,0.37311189907903336,48.0,1.0,1.9278851921638962e-20,11.962636689488573,0.0,4.110392126707851,161.0700183629549
152,6.5,-0.4,,11.961462174662255,,6.5-0.4,18,2,11,-23,34,S,18.0,18.0,0.0,27,0.6,0.0,18.0,0.5,1.2539396587627963e-20,11.961462174662255,0.0,4.1138087758334265,160.78257486221858
153,7.0,-0.1,,11.955318657425547,,7.0-0.1,18,1,50,-22,54,S,15.0,15.0,0.0,2.5?,0.5?,0.0,15.0,0.5,1.6719195450170624e-21,11.955318657425547,0.0,4.1316287102561144,159.35098779584445
154,7.7,-3.7,,11.945960312835533,,7.7-3.7,18,17,25,-24,4,S,22.0,22.0,11.432621146092927,11,0.32,0.4277797700021184,22.0,1.0,3.4870851204653116e-21,11.945960312835533,0.0,4.158609407501305,157.36329034250315
